epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.9259,0.1982,0.1596,0.9635,0.1125,0.1123,0.0010000,14,,,
2,0.9641,0.1315,0.1827,0.9677,0.0960,0.0981,0.0010000,25,,,
3,0.9731,0.0132,0.0223,0.9732,0.0829,0.0865,0.0010000,35,,,
4,0.9765,0.0805,0.0636,0.9758,0.0716,0.0766,0.0010000,45,,,
5,0.9793,0.0627,0.0446,0.9788,0.0619,0.0670,0.0010000,55,,,
6,0.9833,0.0532,0.0452,0.9806,0.0550,0.0596,0.0010000,65,,,
7,0.9835,0.0251,0.0413,0.9836,0.0482,0.0518,0.0010000,75,,,
8,0.9848,0.0101,0.0168,0.9846,0.0431,0.0453,0.0010000,85,,,
9,0.9836,0.0116,0.0187,0.9866,0.0396,0.0407,0.0010000,95,,,
10,0.9855,0.0224,0.0283,0.9874,0.0362,0.0362,0.0010000,106,0.9966,0.0140,0.0133
11,0.9874,0.0225,0.0282,0.9892,0.0337,0.0319,0.0009044,117,,,
12,0.9881,0.1202,0.0456,0.9898,0.0320,0.0298,0.0009044,127,,,
13,0.9893,0.0069,0.0129,0.9900,0.0313,0.0284,0.0009044,137,,,
14,0.9888,0.0062,0.0101,0.9904,0.0312,0.0272,0.0009044,148,,,
15,0.9880,0.0254,0.0192,0.9910,0.0303,0.0260,0.0009044,158,,,
16,0.9894,0.0098,0.0134,0.9906,0.0302,0.0253,0.0009044,169,,,
17,0.9896,0.0027,0.0052,0.9906,0.0303,0.0250,0.0009044,178,,,
18,0.9901,0.0104,0.0179,0.9906,0.0300,0.0245,0.0009044,188,,,
19,0.9916,0.0245,0.0285,0.9912,0.0293,0.0237,0.0009044,198,,,
20,0.9911,0.0481,0.0374,0.9916,0.0296,0.0233,0.0009044,209,0.9968,0.0114,0.0090
FINAL TEST,,,,,,,,209,0.9968,0.0114,0.0090
