epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.8222,0.3017,0.2351,0.9234,0.2363,0.2099,0.0010000,26,,,
2,0.9242,0.1116,0.1353,0.9290,0.2218,0.1998,0.0010000,33,,,
3,0.9405,0.2524,0.2635,0.9365,0.2016,0.1844,0.0010000,44,,,
4,0.9521,0.0796,0.0883,0.9396,0.1863,0.1728,0.0010000,50,,,
5,0.9585,0.0340,0.0505,0.9485,0.1701,0.1568,0.0010000,56,,,
6,0.9599,0.1995,0.1844,0.9546,0.1557,0.1444,0.0010000,62,,,
7,0.9651,0.0650,0.0929,0.9582,0.1407,0.1287,0.0010000,68,,,
8,0.9666,0.0791,0.0822,0.9627,0.1295,0.1145,0.0010000,74,,,
9,0.9676,0.1203,0.1268,0.9671,0.1188,0.1000,0.0010000,80,,,
10,0.9703,0.0462,0.0513,0.9705,0.1112,0.0884,0.0010000,87,0.9777,0.0768,0.0606
11,0.9709,0.1363,0.1085,0.9716,0.1040,0.0781,0.0010000,93,,,
12,0.9735,0.0536,0.0549,0.9733,0.0981,0.0714,0.0010000,99,,,
13,0.9753,0.0603,0.0761,0.9736,0.0931,0.0668,0.0010000,105,,,
14,0.9737,0.0915,0.0793,0.9744,0.0905,0.0641,0.0010000,110,,,
15,0.9747,0.0572,0.0499,0.9736,0.0883,0.0625,0.0010000,116,,,
16,0.9752,0.0349,0.0557,0.9763,0.0848,0.0587,0.0010000,122,,,
17,0.9764,0.1095,0.1530,0.9772,0.0838,0.0566,0.0010000,129,,,
18,0.9777,0.0398,0.0453,0.9788,0.0817,0.0547,0.0010000,135,,,
19,0.9786,0.1697,0.1122,0.9783,0.0814,0.0530,0.0010000,141,,,
20,0.9785,0.1372,0.1008,0.9800,0.0806,0.0516,0.0010000,147,0.9811,0.0741,0.0452
FINAL TEST,,,,,,,,148,0.9811,0.0741,0.0452
