epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,2,,,
2,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,2,,,
3,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,3,,,
4,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,3,,,
5,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,3,,,
6,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,3,,,
7,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,4,,,
8,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,4,,,
9,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,4,,,
10,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,4,0.0000,0.0000,0.0000
11,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009044,5,,,
12,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009044,5,,,
13,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009044,5,,,
14,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009044,5,,,
15,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009044,6,,,
16,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009044,6,,,
17,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009044,6,,,
